device,variant,model_id,soc,gpu,geekbench_version,compute_api,geekbench_gpu_score,resolution_status,spec_source,score_source,notes
Oppo A78,5G,CPH2483,MediaTek MT6833,Mali-G57 MC2,,,-,resolved,https://www.oppo.com/en/smartphones/series-a/a78-5g/specs/,,"GPU confirmed from the tested device; no exact-device Geekbench 6 GPU result was found."
Vivo Y22,,V2207,MediaTek Helio G85,Mali-G52 MC2,6.0.0,OpenCL,1151,resolved,https://www.vivo.com/ae/en/products/param/y22,https://browser.geekbench.com/v6/compute/compare/311365?baseline=1321036,Exact V2207 result.
Realme P3,5G,RMX5070,Qualcomm Snapdragon 6 Gen 4,Adreno 810,6.7.0,OpenCL,2905,resolved,https://www.realme.com/global/realme-p3-5g/specs,https://browser.geekbench.com/v6/compute/6259888,Exact RMX5070 result with SM6650 and Adreno 810.
Samsung Galaxy A35,5G,SM-A356,Exynos 1380,Mali-G68 MP5,6.3.0,Vulkan,3080,resolved,https://semiconductor.samsung.com/processor/mobile-processor/exynos-1380/,https://browser.geekbench.com/v6/compute/2962426,Exact SM-A356B result.
Samsung Galaxy S22,Exynos,SM-S901B,Exynos 2200,Xclipse 920,6.0.0,Vulkan,9750,resolved,https://image.semiconductor.samsung.com/resources/brochure/Exynos2200.pdf,https://browser.geekbench.com/v6/compute/169282,GPU confirmed from the tested device.
Samsung Galaxy A05s,,SM-A057,Qualcomm Snapdragon 680,Adreno 610,6.6.0,OpenCL,352,resolved,https://www.qualcomm.com/content/dam/qcomm-martech/dm-assets/documents/product_brief_-_snapdragon_680_4g_mobile_platform.pdf,https://browser.geekbench.com/v6/compute/6270339,Exact Galaxy A05s result; Samsung identifies the device SoC as Snapdragon 680.
Samsung Galaxy Tab A6,10.1 (2016),SM-T580/SM-T585,Samsung Exynos 7870,Mali-T830 MP1,,,-,ambiguous,https://www.ifixit.com/Device/Samsung_galaxy_tabA6,,"The benchmark screenshot does not distinguish the Wi-Fi SM-T580 from LTE SM-T585 model; no comparable exact-device Geekbench 6 GPU result was found."
iPhone 12,,"iPhone13,2",Apple A14 Bionic,Apple A14 GPU,6 aggregate,Metal,12849,resolved,https://browser.geekbench.com/ios_devices/iphone-12,https://browser.geekbench.com/ios_devices/iphone-12,Geekbench device-chart aggregate from user-submitted results.
iPhone 14,,"iPhone14,7",Apple A15 Bionic,Apple A15 GPU (5-core),6 aggregate,Metal,16608,resolved,https://support.apple.com/en-mide/111850,https://browser.geekbench.com/ios_devices/iphone-14,Geekbench device-chart aggregate from user-submitted results.
MacBook M4 Max,40-core GPU,"Mac16,5",Apple M4 Max,Apple M4 Max GPU (40-core),6.3.0,Metal,186260,resolved,https://browser.geekbench.com/v6/compute/3643543,https://browser.geekbench.com/v6/compute/3643543,40-core configuration confirmed by the user; exact Geekbench 6.3 Metal result.
